root_id,nt_label,partner_Dm9,partner_Mi4,partner_R7,partner_Tm20,partner_Mi15,partner_Mi1,partner_Dm2,partner_L1,partner_Mi9,partner_Tm5c,partner_MLt1,partner_aMe12,partner_L3,partner_DmDRA2,partner_Dm11,partner_Tm5b,partner_MTe50,partner_Dm8a,partner_aMe5,partner_Dm8b,partner_MeLp1,partner_Tm9,partner_R8,partner_C2,partner_Dm4,partner_Mi10,partner_TmY9q,partner_Dm12,partner_Tm5e,partner_L2
720575940615592354,ACH,0.37280701754385964,0.12719298245614036,0.10964912280701754,0.07017543859649122,0.043859649122807015,0.07894736842105263,0.05263157894736842,0.039473684210526314,0.0,0.0,0.02631578947368421,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615659682,ACH,0.27510917030567683,0.1222707423580786,0.14410480349344978,0.08296943231441048,0.10480349344978165,0.056768558951965066,0.06986899563318777,0.026200873362445413,0.039301310043668124,0.0,0.03056768558951965,0.026200873362445413,0.0,0.0,0.021834061135371178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615663522,ACH,0.390625,0.140625,0.125,0.07291666666666667,0.0,0.0625,0.10416666666666667,0.03125,0.0,0.0,0.026041666666666668,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940615969898,GLUT,0.24858757062146894,0.15254237288135594,0.14124293785310735,0.1016949152542373,0.07909604519774012,0.062146892655367235,0.02824858757062147,0.06779661016949153,0.0,0.06779661016949153,0.0,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940616112543,ACH,0.32644628099173556,0.1322314049586777,0.10330578512396695,0.08264462809917356,0.10330578512396695,0.07851239669421488,0.028925619834710745,0.049586776859504134,0.0,0.0,0.024793388429752067,0.0371900826446281,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940616325343,GLUT,0.3216374269005848,0.11695906432748537,0.11695906432748537,0.11695906432748537,0.029239766081871343,0.08187134502923976,0.05847953216374269,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940616331487,ACH,0.30198019801980197,0.10396039603960396,0.09405940594059406,0.07425742574257425,0.0891089108910891,0.0891089108910891,0.09900990099009901,0.0,0.0,0.034653465346534656,0.039603960396039604,0.04950495049504951,0.024752475247524754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940616494658,ACH,0.057692307692307696,0.125,0.23076923076923078,0.08653846153846154,0.23076923076923078,0.052884615384615384,0.08173076923076923,0.04326923076923077,0.0,0.0625,0.028846153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940616522818,ACH,0.06666666666666667,0.10833333333333334,0.2833333333333333,0.05,0.09166666666666666,0.125,0.041666666666666664,0.06666666666666667,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
720575940616534850,ACH,0.0,0.22580645161290322,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
