cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
Tlp14,48,0.77655578544446,1.139853843341891,0.18590787350784863,-1.9541832792901765,0.972027972027972,1.0,GLUT,0.7708333333333334,2,"{""GLUT"": 37, ""GABA"": 11}"
ORN_DC1,22,0.5746356978376794,1.0916098004055759,0.26261397389300917,-1.9685704264104218,0.973026973026973,1.0,ACH,0.8636363636363636,2,"{""ACH"": 19, ""SER"": 3}"
Dm12,152,0.9717150802237341,1.1854502140235348,0.103232845857987,-2.0704179180900133,0.978021978021978,1.0,GABA,0.5986842105263158,2,"{""GABA"": 91, ""GLUT"": 61}"
MTe04,30,0.6500224216483541,1.1111676066664171,0.22246751115415964,-2.0728653034577746,0.978021978021978,1.0,ACH,0.8333333333333334,2,"{""ACH"": 25, ""GLUT"": 5}"
T1,296,1.0255166818306294,1.1881210592978428,0.07423262597871423,-2.1904705016610797,0.9790209790209791,1.0,ACH,0.5912162162162162,3,"{""ACH"": 175, ""GABA"": 119, ""GLUT"": 2}"
EL,16,0.3372900666170139,1.0403979379394876,0.3194510325741405,-2.2009879437759885,0.993006993006993,1.0,GABA,0.9375,2,"{""GABA"": 15, ""OCT"": 1}"
MeMe_e02,15,0.35335933502142136,1.0596770921881287,0.3187712180001079,-2.2157513516997267,0.995004995004995,1.0,GLUT,0.9333333333333333,2,"{""GLUT"": 14, ""GABA"": 1}"
SA_DMT_DMetaN_12,23,0.5131851787372753,1.0966886838027745,0.2536364297686304,-2.300550853825599,0.986013986013986,1.0,ACH,0.9130434782608695,3,"{""ACH"": 21, ""SER"": 1, ""GLUT"": 1}"
Dm11,107,0.8913309584070233,1.1721009672372065,0.1215065675352402,-2.310739365991491,0.99000999000999,1.0,GLUT,0.6915887850467289,2,"{""GLUT"": 74, ""GABA"": 33}"
ORN_VA2,36,0.6500224216483541,1.1331990170497872,0.20669979800251703,-2.3375765243638473,0.99000999000999,1.0,SER,0.8333333333333334,2,"{""SER"": 30, ""ACH"": 6}"
ORN_VC2,16,0.3372900666170139,1.0582821081909954,0.3069201615501835,-2.34911919090755,0.996003996003996,1.0,ACH,0.9375,2,"{""ACH"": 15, ""SER"": 1}"
AVLP045,10,-0.0,0.9751060087142673,0.4142732976606482,-2.353774704333044,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SA1,10,-0.0,0.9694376635733606,0.4091097556287641,-2.3696273438491438,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
FB9C,10,-0.0,0.9708015751328019,0.4059384929970964,-2.391499184926387,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
CB0961,10,-0.0,0.9571281914015688,0.39915899618461315,-2.3978620062439777,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
SAD047,10,-0.0,0.9686272733630437,0.40378183380784294,-2.398887696923995,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
vDeltaI_a,16,0.3372900666170139,1.0722838722045702,0.3057375681423722,-2.404002262637522,0.994005994005994,1.0,ACH,0.9375,2,"{""ACH"": 15, ""SER"": 1}"
CB0946,10,-0.0,0.9650120808260779,0.4005627238387103,-2.409140999387271,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1542,10,-0.0,0.9552192826357717,0.3955741368254904,-2.414766774950132,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SAD005,10,-0.0,0.9709136348941322,0.4012621364874129,-2.419649268165098,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1372,10,-0.0,0.963526039281173,0.39795936550845074,-2.4211668898660768,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
LTe68,10,-0.0,0.9657858778002636,0.398357046926147,-2.4244227264274167,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
DL3_lPN,10,-0.0,0.960385060328566,0.3957371103596905,-2.42682587805743,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
FLA101f_b,10,-0.0,0.9788571768159978,0.4030881904886722,-2.428394579432627,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1079,17,0.3227569588973982,1.0653760749955932,0.3054162705891002,-2.4314982128024774,0.998001998001998,1.0,GABA,0.9411764705882353,2,"{""GABA"": 16, ""GLUT"": 1}"
CB2049,10,-0.0,0.9482153923936808,0.388564700499777,-2.4403024545823997,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB2774,10,-0.0,0.9825334447580518,0.40236295068061606,-2.4419083394632874,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1827,10,-0.0,0.974799769202827,0.39832263715316746,-2.447261788006254,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
AVLP454_b,10,-0.0,0.9687436044512158,0.39523224712653515,-2.451074302500091,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
