fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,fafb_dominant_frac,mcns_match,mcns_n,mcns_confirmed_nt,mcns_confirmed_frac,agrees_with_mcns,is_categorical_blindspot
FB5V,19,-0.0,GLUT,1.0,"FB5V_a,FB5V_b,FB5V_c",17,GLUT,1.0,True,False
FB9B,18,-0.0,GLUT,1.0,"FB9B_a,FB9B_b,FB9B_c,FB9B_d",14,GLUT,1.0,True,False
FC1A,36,-0.0,ACH,1.0,FC1A,17,ACH,1.0,True,False
FC1C,37,-0.0,ACH,1.0,"FC1C_a,FC1C_b",29,ACH,1.0,True,False
DNge091,11,-0.0,ACH,1.0,DNge091,14,ACH,1.0,True,False
FC3,46,-0.0,ACH,1.0,"FC3_a,FC3_b,FC3_c",52,ACH,1.0,True,False
FR2,17,-0.0,ACH,1.0,FR2,17,ACH,1.0,True,False
FS1A,36,-0.0,ACH,1.0,"FS1A_a,FS1A_b,FS1A_c",47,ACH,1.0,True,False
FS1B,21,-0.0,ACH,1.0,"FS1B_a,FS1B_b",29,ACH,1.0,True,False
FS2,33,-0.0,ACH,1.0,FS2,42,ACH,1.0,True,False
FS4B,25,-0.0,ACH,1.0,FS4B,23,ACH,0.9130434782608695,True,False
FS4C,25,-0.0,ACH,1.0,FS4C,28,ACH,1.0,True,False
HRN_VP1d,16,-0.0,ACH,1.0,HRN_VP1d,18,ACH,1.0,True,False
FC1D,29,-0.0,ACH,1.0,FC1D,25,ACH,1.0,True,False
Delta7,40,-0.0,GLUT,1.0,Delta7,42,GLUT,1.0,True,False
Dm13,49,-0.0,GABA,1.0,Dm13,53,GABA,1.0,True,False
Dm14,15,-0.0,GLUT,1.0,Dm14,34,GLUT,1.0,True,False
Dm18,48,-0.0,GABA,1.0,Dm18,57,GABA,1.0,True,False
Dm2,1218,-0.0,ACH,1.0,Dm2,1400,ACH,1.0,True,False
EPG,47,-0.0,ACH,1.0,EPG,46,ACH,1.0,True,False
ER1,27,-0.0,GABA,1.0,"ER1_a,ER1_b,ER1_c",28,GABA,1.0,True,False
ER3a_a,23,-0.0,GABA,1.0,ER3a_a,15,GABA,1.0,True,False
ER3d,46,-0.0,GABA,1.0,"ER3d_a,ER3d_b,ER3d_c,ER3d_d,ER3d_e",54,GABA,1.0,True,False
ER3m,15,-0.0,GABA,1.0,ER3m,18,GABA,1.0,True,False
ER3p_a,17,-0.0,GABA,1.0,ER3p_a,14,GABA,1.0,True,False
ER3w,25,-0.0,GABA,1.0,"ER3w_a,ER3w_b,ER3w_c",31,GABA,1.0,True,False
ER4d,24,-0.0,GABA,1.0,ER4d,26,GABA,1.0,True,False
ER4m,11,-0.0,GABA,1.0,ER4m,11,GABA,1.0,True,False
ER5,21,-0.0,GABA,1.0,ER5,21,GABA,1.0,True,False
ER2,41,-0.0,GABA,1.0,"ER2_a,ER2_b,ER2_c,ER2_d",41,GABA,1.0,True,False
BM_Vib,36,-0.0,ACH,1.0,BM_Vib,22,ACH,1.0,True,False
BM_vOcci_vPoOr,39,-0.0,ACH,1.0,BM_vOcci_vPoOr,21,ACH,1.0,True,False
CB1964,21,-0.0,ACH,1.0,CB1964,18,ACH,1.0,True,False
CB0986,11,-0.0,GABA,1.0,CB0986,13,GABA,1.0,True,False
AVLP045,10,-0.0,ACH,1.0,AVLP045,10,ACH,1.0,True,False
AVLP149,12,-0.0,ACH,1.0,AVLP149,12,ACH,1.0,True,False
AVLP232,15,-0.0,ACH,1.0,AVLP232,12,ACH,1.0,True,False
BM_MaPa,23,-0.0,ACH,1.0,BM_MaPa,13,ACH,1.0,True,False
BM_Taste,66,-0.0,ACH,1.0,BM_Taste,40,ACH,1.0,True,False
TuBu03,26,-0.0,ACH,1.0,TuBu03,23,ACH,1.0,True,False
hDeltaB,18,-0.0,ACH,1.0,hDeltaB,19,ACH,1.0,True,False
CB1556,18,-0.0,GLUT,1.0,CB1556,15,GLUT,1.0,True,False
CB1617,16,-0.0,GLUT,1.0,CB1617,21,GLUT,1.0,True,False
CB1072,11,-0.0,ACH,1.0,CB1072,14,ACH,1.0,True,False
CB1786,15,-0.0,GLUT,1.0,CB1786_a,15,GLUT,1.0,True,False
CB1876,19,-0.0,ACH,1.0,CB1876,25,ACH,1.0,True,False
