cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
claw_tpGRN,53,2,0.13503620280212764,ACH,0.9811320754716981,"{'ACH': np.int64(52), 'SER': np.int64(1)}"
vDeltaM,54,2,0.13303964861069895,ACH,0.9814814814814815,"{'ACH': np.int64(53), 'DA': np.int64(1)}"
aMe5,55,2,0.13110652958234503,ACH,0.9818181818181818,"{'ACH': np.int64(54), 'GABA': np.int64(1)}"
LC26,57,2,0.12741851179235877,ACH,0.9824561403508771,"{'ACH': np.int64(56), 'GLUT': np.int64(1)}"
Sm03,143,3,0.12017384944811041,GLUT,0.986013986013986,"{'GLUT': np.int64(141), 'ACH': np.int64(1), 'GABA': np.int64(1)}"
Li10,184,2,0.1201543850557974,GLUT,0.9836956521739131,"{'GLUT': np.int64(181), 'ACH': np.int64(3)}"
LC25,62,2,0.11911602665564835,GLUT,0.9838709677419355,"{'GLUT': np.int64(61), 'ACH': np.int64(1)}"
Sm07,310,3,0.11238027668084585,GABA,0.9870967741935484,"{'GABA': np.int64(306), 'ACH': np.int64(2), 'GLUT': np.int64(2)}"
ORN_VM5d,67,2,0.11190990870168403,ACH,0.9850746268656716,"{'ACH': np.int64(66), 'SER': np.int64(1)}"
Sm06,156,3,0.1117796081762559,GABA,0.9871794871794872,"{'GABA': np.int64(154), 'ACH': np.int64(1), 'GLUT': np.int64(1)}"
Sm05,135,2,0.11124104948299228,GABA,0.9851851851851852,"{'GABA': np.int64(133), 'ACH': np.int64(2)}"
ORN_VM4,70,2,0.10802319526362832,ACH,0.9857142857142858,"{'ACH': np.int64(69), 'SER': np.int64(1)}"
Pm09,71,2,0.10679203237584187,GABA,0.9859154929577465,"{'GABA': np.int64(70), 'ACH': np.int64(1)}"
Sm10,76,2,0.10106696361212415,GABA,0.9868421052631579,"{'GABA': np.int64(75), 'ACH': np.int64(1)}"
TmY5a,1151,3,0.0993154929733503,GLUT,0.9887054735013032,"{'GLUT': np.int64(1138), 'GABA': np.int64(9), 'ACH': np.int64(4)}"
Y1,161,2,0.09645482910708593,GLUT,0.9875776397515528,"{'GLUT': np.int64(159), 'GABA': np.int64(2)}"
MTe01a,82,2,0.09501724567107636,GLUT,0.9878048780487805,"{'GLUT': np.int64(81), 'GABA': np.int64(1)}"
Li01,164,2,0.09501724567107636,GLUT,0.9878048780487805,"{'GLUT': np.int64(162), 'GABA': np.int64(2)}"
cLP02,87,2,0.09054385326964295,GABA,0.9885057471264368,"{'GABA': np.int64(86), 'GLUT': np.int64(1)}"
