cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
aPhM1,23,-0.0,1.0903770910433983,0.2611925571558063,-4.174610114915977,1.0,1.0,ACH,1.0,1,"{""ACH"": 23}"
ORN_VM5v,23,-0.0,1.089008210836039,0.2600041334796537,-4.188426531000739,1.0,1.0,ACH,1.0,1,"{""ACH"": 23}"
s-CPDN3B,25,-0.0,1.0752453838908098,0.2559899407866163,-4.200342328244431,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 25}"
LC45,24,-0.0,1.0801698735815555,0.25634979043975065,-4.213656159923507,1.0,1.0,ACH,1.0,1,"{""ACH"": 24}"
SLP405,34,0.19143325481419343,1.1033884073005116,0.21586394273387663,-4.224675695887771,1.0,1.0,ACH,0.9705882352941176,2,"{""ACH"": 33, ""SER"": 1}"
FC2C,33,0.19590927087360493,1.1003062800567733,0.2133101207105843,-4.2398223120891645,1.0,1.0,ACH,0.9696969696969697,2,"{""ACH"": 32, ""SER"": 1}"
TuBu09,34,0.19143325481419343,1.0985971945874269,0.21386621910044293,-4.24173552788709,1.0,1.0,ACH,0.9705882352941176,2,"{""ACH"": 33, ""GLUT"": 1}"
ORN_VC4,23,-0.0,1.0924364842053542,0.2572024282268838,-4.247380134536259,1.0,1.0,ACH,1.0,1,"{""ACH"": 23}"
CB2517,26,-0.0,1.0746073143358246,0.25202843543643944,-4.263833612564072,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 26}"
MTe05,25,-0.0,1.0785209512852878,0.25139181583976716,-4.290199136684381,1.0,1.0,ACH,1.0,1,"{""ACH"": 25}"
PFL3,24,-0.0,1.0818474633553712,0.25190084594926065,-4.29473533238266,1.0,1.0,ACH,1.0,1,"{""ACH"": 24}"
ORN_VC1,26,-0.0,1.09053637845818,0.25345219349844195,-4.302730086511892,1.0,1.0,ACH,1.0,1,"{""ACH"": 26}"
ORN_VC5,25,-0.0,1.0794946665994893,0.2506707941024323,-4.306423771723372,1.0,1.0,ACH,1.0,1,"{""ACH"": 25}"
TuBu03,26,-0.0,1.0776544710421405,0.25016981784579084,-4.307691792406493,1.0,1.0,ACH,1.0,1,"{""ACH"": 26}"
ORN_DP1l,24,-0.0,1.0899057048908967,0.25291176318082287,-4.309430653534502,1.0,1.0,ACH,1.0,1,"{""ACH"": 24}"
ORN_VM7v,26,-0.0,1.0781738112760109,0.24961000674960523,-4.319433444659831,1.0,1.0,ACH,1.0,1,"{""ACH"": 26}"
LMt4,39,0.29181825659888583,1.124572521695658,0.19270092309633205,-4.3214856043033825,1.0,1.0,GLUT,0.9487179487179487,2,"{""GLUT"": 37, ""GABA"": 2}"
ER3a_a,23,-0.0,1.0862678974013464,0.25077485967043456,-4.331645918689406,1.0,1.0,GABA,1.0,1,"{""GABA"": 23}"
s-CPDN3E,24,-0.0,1.0856271291168595,0.24962338734421688,-4.349060160856801,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 24}"
ORN_VM1,25,-0.0,1.0777899023900654,0.24743762190695653,-4.355804481484002,1.0,1.0,ACH,1.0,1,"{""ACH"": 25}"
CB1078,25,-0.0,1.0827774684211395,0.24643997702431547,-4.393676226947162,1.0,1.0,ACH,1.0,1,"{""ACH"": 25}"
