root_id,nt_label,partner_Dm8b,partner_Dm8a,partner_Dm9,partner_MeTu3c,partner_R8,partner_Tm5b,partner_Dm11,partner_MeTu3b,partner_Tm5a,partner_L3,partner_DmDRA1,partner_Dm2,partner_Tm20,partner_MeTu2a,partner_Mi15,partner_Sm01,partner_Mi9,partner_aMe12,partner_MeTu3a,partner_Mi4,partner_Tm5d,partner_MeMe_e10,partner_MeTu2b,partner_Tm27,partner_Tm5c,partner_L1,partner_Dm4,partner_DmDRA2,partner_Mi1,partner_R7
720575940620746320,GLUT,0.0,0.4105960264900662,0.059602649006622516,0.09271523178807947,0.0728476821192053,0.0,0.059602649006622516,0.13245033112582782,0.10596026490066225,0.033112582781456956,0.0,0.0,0.0,0.0,0.0,0.0,0.033112582781456956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940620878539,GLUT,0.3235294117647059,0.0,0.23529411764705882,0.23529411764705882,0.07058823529411765,0.0,0.041176470588235294,0.0,0.0,0.052941176470588235,0.0,0.041176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940620921734,GABA,0.0,0.46107784431137727,0.08383233532934131,0.1497005988023952,0.04790419161676647,0.0,0.07784431137724551,0.05389221556886228,0.05389221556886228,0.029940119760479042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041916167664670656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940621072065,GABA,0.3181818181818182,0.06060606060606061,0.26515151515151514,0.0,0.05303030303030303,0.06818181818181818,0.045454545454545456,0.0,0.0,0.07575757575757576,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.05303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940621079431,GABA,0.0,0.4656084656084656,0.20105820105820105,0.10052910052910052,0.037037037037037035,0.0,0.026455026455026454,0.06349206349206349,0.06349206349206349,0.0,0.0,0.042328042328042326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940621117121,GABA,0.2983425414364641,0.06629834254143646,0.2265193370165746,0.11049723756906077,0.055248618784530384,0.08287292817679558,0.049723756906077346,0.0,0.0,0.027624309392265192,0.0,0.055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027624309392265192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940621179329,GABA,0.3712121212121212,0.045454545454545456,0.3106060606060606,0.0,0.03787878787878788,0.12878787878787878,0.0,0.0,0.0,0.05303030303030303,0.0,0.05303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940621235732,ACH,0.16666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940621297032,GABA,0.23333333333333334,0.05555555555555555,0.1,0.0,0.1111111111111111,0.1,0.08888888888888889,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.07777777777777778,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
720575940621306644,GABA,0.1532258064516129,0.0,0.33064516129032256,0.0,0.056451612903225805,0.04032258064516129,0.0967741935483871,0.0,0.0,0.04838709677419355,0.0,0.0967741935483871,0.07258064516129033,0.0,0.0,0.0,0.056451612903225805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0
720575940621441006,GLUT,0.35964912280701755,0.14035087719298245,0.21929824561403508,0.0,0.03508771929824561,0.07017543859649122,0.0,0.0,0.07017543859649122,0.021929824561403508,0.0,0.03070175438596491,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940621442731,ACH,0.17405063291139242,0.0,0.0189873417721519,0.0,0.21518987341772153,0.04746835443037975,0.02531645569620253,0.07911392405063292,0.0,0.0,0.0,0.10126582278481013,0.02531645569620253,0.0,0.07278481012658228,0.0,0.015822784810126583,0.0189873417721519,0.0,0.10443037974683544,0.015822784810126583,0.0,0.0,0.0,0.0,0.02531645569620253,0.015822784810126583,0.0,0.04430379746835443,0.0
720575940621459905,GLUT,0.3735408560311284,0.1517509727626459,0.1556420233463035,0.058365758754863814,0.07392996108949416,0.058365758754863814,0.04669260700389105,0.038910505836575876,0.0,0.023346303501945526,0.0,0.019455252918287938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940621474330,ACH,0.34965034965034963,0.04195804195804196,0.14685314685314685,0.11188811188811189,0.1048951048951049,0.06993006993006994,0.0979020979020979,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
