cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
JO-B,86,3,0.30912345376202427,ACH,0.9534883720930233,"{""ACH"": 82, ""SER"": 3, ""GABA"": 1}"
FS4A,45,3,0.3067556640587811,ACH,0.9555555555555556,"{""ACH"": 43, ""SER"": 1, ""GLUT"": 1}"
LPi10,37,2,0.30337483608641397,GLUT,0.9459459459459459,"{""GLUT"": 35, ""GABA"": 2}"
Tm32,167,2,0.30270618933056076,GLUT,0.9461077844311377,"{""GLUT"": 158, ""ACH"": 9}"
T4d,1220,3,0.301201886956432,ACH,0.9565573770491803,"{""ACH"": 1167, ""GLUT"": 28, ""GABA"": 25}"
CB1479,19,2,0.2974722489192896,GLUT,0.9473684210526315,"{""GLUT"": 18, ""ACH"": 1}"
LMt4,39,2,0.29181825659888583,GLUT,0.9487179487179487,"{""GLUT"": 37, ""GABA"": 2}"
LC12,149,3,0.2805000563057208,ACH,0.959731543624161,"{""ACH"": 143, ""GLUT"": 4, ""OCT"": 2}"
FS3,51,3,0.27790019762551116,ACH,0.9607843137254902,"{""ACH"": 49, ""SER"": 1, ""GLUT"": 1}"
Mi14,217,3,0.2698855118299763,GLUT,0.9585253456221198,"{""GLUT"": 208, ""GABA"": 8, ""ACH"": 1}"
Tm40,23,2,0.2580186686648155,ACH,0.9565217391304348,"{""ACH"": 22, ""GABA"": 1}"
Lawf1,182,3,0.25795002714933096,ACH,0.9615384615384616,"{""ACH"": 175, ""GABA"": 6, ""GLUT"": 1}"
LMa5,70,2,0.2552421131901918,GLUT,0.9571428571428572,"{""GLUT"": 67, ""GABA"": 3}"
ORN_VM6m,24,2,0.24988229283318544,ACH,0.9583333333333334,"{""ACH"": 23, ""GABA"": 1}"
T5d,1138,3,0.2388913378955883,ACH,0.9666080843585237,"{""ACH"": 1100, ""GLUT"": 28, ""GABA"": 10}"
FC2B,26,2,0.23519338181924143,ACH,0.9615384615384616,"{""ACH"": 25, ""SER"": 1}"
Tm5c,533,3,0.2234183481482849,GLUT,0.9662288930581614,"{""GLUT"": 515, ""GABA"": 17, ""ACH"": 1}"
LPi05,70,3,0.21574768544463674,GLUT,0.9714285714285714,"{""GLUT"": 68, ""ACH"": 1, ""GABA"": 1}"
LC16,117,2,0.21497820032771042,ACH,0.9658119658119658,"{""ACH"": 113, ""GLUT"": 4}"
ORN_DA2,30,2,0.21084230031853213,ACH,0.9666666666666667,"{""ACH"": 29, ""SER"": 1}"
JO-FVA,31,2,0.205592508185083,ACH,0.967741935483871,"{""ACH"": 30, ""SER"": 1}"
FC2C,33,2,0.19590927087360493,ACH,0.9696969696969697,"{""ACH"": 32, ""SER"": 1}"
SLP405,34,2,0.19143325481419343,ACH,0.9705882352941176,"{""ACH"": 33, ""SER"": 1}"
TuBu09,34,2,0.19143325481419343,ACH,0.9705882352941176,"{""ACH"": 33, ""GLUT"": 1}"
LPi11,35,2,0.18717625687320816,GABA,0.9714285714285714,"{""GABA"": 34, ""GLUT"": 1}"
Tm5e,414,3,0.16771011196295327,GLUT,0.9782608695652174,"{""GLUT"": 405, ""GABA"": 7, ""ACH"": 2}"
Tm5d,285,2,0.16633704704670643,GLUT,0.9754385964912281,"{""GLUT"": 278, ""GABA"": 7}"
ORN_DM3,41,2,0.1654270339962668,SER,0.975609756097561,"{""SER"": 40, ""ACH"": 1}"
vDeltaL,41,2,0.1654270339962668,ACH,0.975609756097561,"{""ACH"": 40, ""SER"": 1}"
LC20b,45,2,0.15374218032876188,GLUT,0.9777777777777777,"{""GLUT"": 44, ""ACH"": 1}"
TPMN1,48,2,0.1460942501201363,ACH,0.9791666666666666,"{""ACH"": 47, ""GLUT"": 1}"
Dm6,48,2,0.1460942501201363,GABA,0.9791666666666666,"{""GABA"": 47, ""GLUT"": 1}"
Lawf2,281,3,0.14171190715767118,ACH,0.9822064056939501,"{""ACH"": 276, ""GABA"": 4, ""DA"": 1}"
LCe02,52,2,0.1370994788998177,ACH,0.9807692307692307,"{""ACH"": 51, ""GLUT"": 1}"
vDeltaA_a,52,2,0.1370994788998177,ACH,0.9807692307692307,"{""ACH"": 51, ""DA"": 1}"
claw_tpGRN,53,2,0.13503620280212764,ACH,0.9811320754716981,"{""ACH"": 52, ""SER"": 1}"
vDeltaM,54,2,0.13303964861069895,ACH,0.9814814814814815,"{""ACH"": 53, ""DA"": 1}"
aMe5,55,2,0.13110652958234503,ACH,0.9818181818181818,"{""ACH"": 54, ""GABA"": 1}"
LC26,57,2,0.12741851179235877,ACH,0.9824561403508771,"{""ACH"": 56, ""GLUT"": 1}"
Sm03,143,3,0.12017384944811041,GLUT,0.986013986013986,"{""GLUT"": 141, ""ACH"": 1, ""GABA"": 1}"
Li10,184,2,0.1201543850557974,GLUT,0.9836956521739131,"{""GLUT"": 181, ""ACH"": 3}"
LC25,62,2,0.11911602665564835,GLUT,0.9838709677419355,"{""GLUT"": 61, ""ACH"": 1}"
Sm07,310,3,0.11238027668084585,GABA,0.9870967741935484,"{""GABA"": 306, ""ACH"": 2, ""GLUT"": 2}"
ORN_VM5d,67,2,0.11190990870168403,ACH,0.9850746268656716,"{""ACH"": 66, ""SER"": 1}"
Sm06,156,3,0.1117796081762559,GABA,0.9871794871794872,"{""GABA"": 154, ""ACH"": 1, ""GLUT"": 1}"
Sm05,135,2,0.11124104948299228,GABA,0.9851851851851852,"{""GABA"": 133, ""ACH"": 2}"
ORN_VM4,70,2,0.10802319526362832,ACH,0.9857142857142858,"{""ACH"": 69, ""SER"": 1}"
Pm09,71,2,0.10679203237584187,GABA,0.9859154929577465,"{""GABA"": 70, ""ACH"": 1}"
Sm10,76,2,0.10106696361212415,GABA,0.9868421052631579,"{""GABA"": 75, ""ACH"": 1}"
TmY5a,1151,3,0.0993154929733503,GLUT,0.9887054735013032,"{""GLUT"": 1138, ""GABA"": 9, ""ACH"": 4}"
Y1,161,2,0.09645482910708593,GLUT,0.9875776397515528,"{""GLUT"": 159, ""GABA"": 2}"
MTe01a,82,2,0.09501724567107636,GLUT,0.9878048780487805,"{""GLUT"": 81, ""GABA"": 1}"
Li01,164,2,0.09501724567107636,GLUT,0.9878048780487805,"{""GLUT"": 162, ""GABA"": 2}"
cLP02,87,2,0.09054385326964295,GABA,0.9885057471264368,"{""GABA"": 86, ""GLUT"": 1}"
Tlp4,91,2,0.08728058888363333,GLUT,0.989010989010989,"{""GLUT"": 90, ""GABA"": 1}"
JO-E,101,2,0.08013604733127525,ACH,0.9900990099009901,"{""ACH"": 100, ""GABA"": 1}"
Li02,102,2,0.07949044238393407,ACH,0.9901960784313726,"{""ACH"": 101, ""GLUT"": 1}"
Tm31,107,2,0.07642429309554775,GABA,0.9906542056074766,"{""GABA"": 106, ""GLUT"": 1}"
L5,1427,3,0.07284889460099946,ACH,0.9922915206727401,"{""ACH"": 1416, ""GLUT"": 6, ""GABA"": 5}"
Tm37,229,2,0.07227581161206317,ACH,0.9912663755458515,"{""ACH"": 227, ""GLUT"": 2}"
Dm10,479,2,0.0696495721898393,GABA,0.9916492693110647,"{""GABA"": 475, ""ACH"": 4}"
T4a,1375,3,0.06938708306249577,ACH,0.9927272727272727,"{""ACH"": 1365, ""GABA"": 5, ""GLUT"": 5}"
Tm36,278,2,0.06155707966316687,ACH,0.9928057553956835,"{""ACH"": 276, ""GLUT"": 2}"
Sm12,143,2,0.06012244887863518,GABA,0.993006993006993,"{""GABA"": 142, ""GLUT"": 1}"
T5a,1393,3,0.05649365647510572,ACH,0.994256999282125,"{""ACH"": 1385, ""GLUT"": 5, ""GABA"": 3}"
Y4,162,2,0.054185698091702955,GLUT,0.9938271604938271,"{""GLUT"": 161, ""ACH"": 1}"
T5c,1459,3,0.05205242552224368,ACH,0.9945167923235092,"{""ACH"": 1451, ""GLUT"": 7, ""GABA"": 1}"
Dm9,179,2,0.04984622021387214,ACH,0.994413407821229,"{""ACH"": 178, ""GABA"": 1}"
LC10c,200,2,0.0454146923337941,ACH,0.995,"{""ACH"": 199, ""GLUT"": 1}"
C3,1502,3,0.040176585885549315,GABA,0.996005326231691,"{""GABA"": 1496, ""ACH"": 5, ""GLUT"": 1}"
LC10a,232,2,0.04007569957968721,ACH,0.9956896551724138,"{""ACH"": 231, ""GLUT"": 1}"
Pm01,239,2,0.03908175497953278,GABA,0.99581589958159,"{""GABA"": 238, ""ACH"": 1}"
